STATION,STATION ID,IMPERIAL,METRIC
"CHANHASSEN 3.4 NW, MN US",GHCND:US1MNCV0027,0.44,11.2
"DEEPHAVEN 0.8 SW, MN US",GHCND:US1MNHN0040,0.5,12.7
"EDINA 1.5 NW, MN US",GHCND:US1MNHN0198,0.43,10.9
"EDINA 1.9 SSE, MN US",GHCND:US1MNHN0110,0.34,8.6
"GOLDEN VALLEY 0.8 WSW, MN US",GHCND:US1MNHN0088,0.5,12.7
"LONG LAKE 0.2 WSW, MN US",GHCND:US1MNHN0006,0.42,10.7
"LONG LAKE 1.7 NNW, MN US",GHCND:US1MNHN0185,0.45,11.4
"MINNEAPOLIS 0.4 NE, MN US",GHCND:US1MNHN0181,0.32,8.1
"MINNEAPOLIS 1.8 WSW, MN US",GHCND:US1MNHN0147,0.35,8.9
"MINNEAPOLIS 2.6 ESE, MN US",GHCND:US1MNHN0169,0.29,7.4
"MINNEAPOLIS 3.3 SW, MN US",GHCND:US1MNHN0022,0.38,9.7
"MINNEAPOLIS 3.8 SSW, MN US",GHCND:US1MNHN0028,0.4,10.2
"MINNEAPOLIS 4.1 SSE, MN US",GHCND:US1MNHN0085,0.38,9.7
"MINNEAPOLIS 4.5 SSE, MN US",GHCND:US1MNHN0178,0.35,8.9
"MINNEAPOLIS 4.6 SSE, MN US",GHCND:US1MNHN0214,0.39,9.9
"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",GHCND:USW00014922,0.09,2.3
"MINNETONKA 0.7 WSW, MN US",GHCND:US1MNHN0036,0.47,11.9
"MINNETONKA 1.8 SW, MN US",GHCND:US1MNHN0156,0.49,12.4
"MINNETONKA 2.8 NE, MN US",GHCND:US1MNHN0192,0.45,11.4
"MINNETRISTA 1.5 SSE, MN US",GHCND:US1MNHN0014,0.4,10.2
"ORONO 1.7 WNW, MN US",GHCND:US1MNHN0213,0.45,11.4
"RICHFIELD 1.9 WNW, MN US",GHCND:US1MNHN0078,0.36,9.1
"SAINT PAUL 4.0 W, MN US",GHCND:US1MNRM0061,0.36,9.1
"SAINT PAUL 5.1 SW, MN US",GHCND:US1MNRM0054,0.38,9.7
"SPRING PARK 0.2 SSE, MN US",GHCND:US1MNHN0083,0.38,9.7
"VICTORIA 1.6 WSW, MN US",GHCND:US1MNCV0022,0.46,11.7
